lon,lat,time
-2.908205,47.561286,2024-06-26T17:32:43+02:00
-2.908289,47.561009,2024-06-26T17:33:07+02:00
-2.908423,47.560743,2024-06-26T17:33:31+02:00
-2.908475,47.560466,2024-06-26T17:33:55+02:00
-2.908393,47.560244,2024-06-26T17:34:13+02:00
-2.908079,47.560151,2024-06-26T17:34:43+02:00
-2.907884,47.559898,2024-06-26T17:35:13+02:00
-2.907749,47.559649,2024-06-26T17:35:37+02:00
-2.907749,47.559355,2024-06-26T17:36:01+02:00
-2.907928,47.559164,2024-06-26T17:36:49+02:00
-2.907974,47.558871,2024-06-26T17:37:13+02:00
-2.907934,47.558621,2024-06-26T17:37:37+02:00
-2.907945,47.558358,2024-06-26T17:38:55+02:00
-2.908335,47.558306,2024-06-26T17:39:31+02:00
-2.908661,47.558207,2024-06-26T17:40:37+02:00
-2.908831,47.557977,2024-06-26T17:41:07+02:00
-2.909005,47.557785,2024-06-26T17:41:31+02:00
-2.909159,47.557556,2024-06-26T17:42:01+02:00
-2.909317,47.557324,2024-06-26T17:42:49+02:00
-2.909471,47.557051,2024-06-26T17:43:25+02:00
-2.909791,47.556867,2024-06-26T17:43:55+02:00
-2.910138,47.556717,2024-06-26T17:44:19+02:00
-2.910416,47.556582,2024-06-26T17:44:43+02:00
-2.910776,47.556475,2024-06-26T17:45:07+02:00
-2.911135,47.556377,2024-06-26T17:45:31+02:00
-2.911524,47.556305,2024-06-26T17:45:55+02:00
-2.911855,47.556209,2024-06-26T17:46:19+02:00
-2.912232,47.556209,2024-06-26T17:46:37+02:00
-2.912576,47.556258,2024-06-26T17:47:01+02:00
-2.91294,47.556447,2024-06-26T17:47:31+02:00
-2.913224,47.556661,2024-06-26T17:52:56+02:00
-2.913369,47.556905,2024-06-26T17:53:25+02:00
-2.913477,47.557164,2024-06-26T17:53:58+02:00
-2.913844,47.557226,2024-06-26T17:54:43+02:00
-2.914195,47.557139,2024-06-26T17:55:19+02:00
-2.913862,47.556805,2024-06-26T17:58:34+02:00
-2.913922,47.556542,2024-06-26T17:58:52+02:00
-2.914011,47.556307,2024-06-26T17:59:16+02:00
-2.91413,47.556064,2024-06-26T17:59:34+02:00
-2.914494,47.556072,2024-06-26T17:59:58+02:00
-2.914574,47.555845,2024-06-26T18:00:22+02:00
-2.91456,47.555612,2024-06-26T18:00:40+02:00
-2.914617,47.555268,2024-06-26T18:01:40+02:00
-2.91454,47.555047,2024-06-26T18:02:03+02:00
-2.914419,47.554831,2024-06-26T18:02:22+02:00
-2.914222,47.55464,2024-06-26T18:02:40+02:00
-2.91411,47.554385,2024-06-26T18:03:04+02:00
-2.913788,47.554174,2024-06-26T18:03:29+02:00
-2.913655,47.55396,2024-06-26T18:03:59+02:00
-2.913307,47.55399,2024-06-26T18:04:26+02:00
-2.912888,47.553996,2024-06-26T18:04:50+02:00
-2.912719,47.553765,2024-06-26T18:05:25+02:00
-2.912409,47.553632,2024-06-26T18:05:56+02:00
-2.912061,47.553557,2024-06-26T18:06:15+02:00
-2.911664,47.553625,2024-06-26T18:06:39+02:00
-2.911343,47.553736,2024-06-26T18:07:03+02:00
-2.910905,47.553777,2024-06-26T18:07:33+02:00
-2.910561,47.553782,2024-06-26T18:07:51+02:00
-2.910248,47.5537,2024-06-26T18:08:15+02:00
-2.909902,47.553514,2024-06-26T18:08:39+02:00
-2.909689,47.553307,2024-06-26T18:09:03+02:00
-2.909476,47.553097,2024-06-26T18:09:21+02:00
-2.909287,47.552835,2024-06-26T18:09:45+02:00
-2.909126,47.552578,2024-06-26T18:10:09+02:00
-2.908989,47.552326,2024-06-26T18:10:33+02:00
-2.908875,47.55206,2024-06-26T18:10:57+02:00
-2.908829,47.551834,2024-06-26T18:11:21+02:00
-2.908806,47.551493,2024-06-26T18:11:45+02:00
-2.908668,47.551211,2024-06-26T18:12:09+02:00
-2.908467,47.55096,2024-06-26T18:12:33+02:00
-2.908201,47.55076,2024-06-26T18:12:57+02:00
-2.907932,47.55056,2024-06-26T18:13:22+02:00
-2.907704,47.550335,2024-06-26T18:13:46+02:00
-2.907825,47.550107,2024-06-26T18:14:09+02:00
-2.907888,47.549874,2024-06-26T18:14:33+02:00
-2.908002,47.549633,2024-06-26T18:14:57+02:00
-2.908404,47.549551,2024-06-26T18:15:21+02:00
-2.908626,47.549381,2024-06-26T18:15:46+02:00
-2.908704,47.549415,2024-06-26T18:17:38+02:00
-2.908788,47.549172,2024-06-26T18:23:36+02:00
-2.908991,47.548915,2024-06-26T18:24:00+02:00
-2.909201,47.54873,2024-06-26T18:24:18+02:00
-2.90946,47.54853,2024-06-26T18:24:42+02:00
-2.909719,47.548363,2024-06-26T18:25:06+02:00
-2.91006,47.548286,2024-06-26T18:25:24+02:00
-2.910497,47.548299,2024-06-26T18:25:48+02:00
-2.910817,47.548361,2024-06-26T18:26:06+02:00
-2.911232,47.548295,2024-06-26T18:26:30+02:00
-2.911567,47.548136,2024-06-26T18:26:54+02:00
-2.911945,47.547986,2024-06-26T18:27:19+02:00
-2.912093,47.547713,2024-06-26T18:27:42+02:00
-2.9123,47.547497,2024-06-26T18:28:06+02:00
-2.912687,47.547384,2024-06-26T18:28:30+02:00
-2.913103,47.547309,2024-06-26T18:28:54+02:00
-2.913484,47.547186,2024-06-26T18:29:19+02:00
-2.913886,47.547133,2024-06-26T18:29:43+02:00
-2.914252,47.547029,2024-06-26T18:30:06+02:00
-2.914598,47.546984,2024-06-26T18:30:24+02:00
-2.914934,47.547106,2024-06-26T18:30:48+02:00
-2.915115,47.547319,2024-06-26T18:31:12+02:00
-2.915361,47.547553,2024-06-26T18:31:36+02:00
-2.915623,47.547782,2024-06-26T18:32:00+02:00
-2.915808,47.547996,2024-06-26T18:32:24+02:00
-2.916046,47.548172,2024-06-26T18:32:42+02:00
-2.916299,47.548378,2024-06-26T18:33:06+02:00
-2.916554,47.5486,2024-06-26T18:33:31+02:00
-2.916821,47.548782,2024-06-26T18:33:54+02:00
-2.917152,47.54888,2024-06-26T18:34:18+02:00
