route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
4-0214,1,214,Cesson-Sévigné (Lycée Ozanam) <> Rennes (La Poterie),Complémentaire,3,,94C11F,FFFFFF,4214
4-0216,1,216,Cesson-Sévigné (Dézerseul) <> Rennes (Assomption),Complémentaire,3,,F29FC5,1A171B,4216
4-0218,1,218,Pacé (Centre scolaire Pacé) <> Saint-Gilles (Ile des Bois),Complémentaire,3,,BA67A6,FFFFFF,4218
4-0219,1,219,Saint-Jacques-de-la-Lande (Jean Jaurès) <> Bruz (Aire du 8 Mai),Complémentaire,3,,EF859D,1A171B,4219
4-0220,1,220,Acigné (Timonière) <> Cesson-Sévigné (Lycée Sévigné),Complémentaire,3,,009FE3,FFFFFF,4220
4-0221,1,221,Cesson-Sévigné (Château de Vaux) <> Thorigné-Fouillard <> Cesson-Sévigné (Lycée Sévigné),Complémentaire,3,,F39200,FFFFFF,4221
4-0222,1,222,Chevaigné (Pommiers) <> Betton (Champ Devant),Complémentaire,3,,FECC00,1A171B,4222
4-0223,1,223,Chevaigné (Pommiers) <> Betton <> Saint Grégoire (Jean-Paul II),Complémentaire,3,,94C11F,FFFFFF,4223
4-0224,1,224,Saint-Grégoire (Jean-Paul II) <> Montgermont <> La Chapelle-des-Fougeretz <> Gévezé (Cheval Blanc),Complémentaire,3,,009FE3,FFFFFF,4224
4-0225,1,225,Saint-Grégoire (Jean-Paul II) <> Pacé (Pâtis Roussel),Complémentaire,3,,E30613,FFFFFF,4225
4-0226,1,226,Gévezé (Cheval Blanc) <> La Chapelle-des-Fougeretz <> Montgermont <> Pacé (Centre scolaire Pacé),Complémentaire,3,,4465AD,FFFFFF,4226
4-0227,1,227,Saint-Gilles (Ile des Bois) <> Vezin-le-Coquet <> Pacé (Centre scolaire Pacé),Complémentaire,3,,BCA3CE,FFFFFF,4227
4-0228,1,228,La Chapelle-des-Fougeretz (Besneraie) <> Montgermont <> Rennes (Lycée Mendès France),Complémentaire,3,,71BF44,1A171B,4228
4-0229,1,229,Bruz (Brossolette) <> Chavagne <> Mordelles (Mordelles Pâtis),Complémentaire,3,,FECC00,1A171B,4229
4-0230,1,230,Bruz (Aire du 8 Mai) <> Orgères <> Bourgbarré (Centre de Loisirs),Complémentaire,3,,009881,FFFFFF,4230
4-0231,1,231,Bruz (Brossolette) <> Pont-Péan <> Laillé (Gingouillère),Complémentaire,3,,E5006D,FFFFFF,4231
4-0232,1,232,Vern-sur-Seiche (Hauts de Gaudon) <> Vern-sur-Seiche (La Poste),Complémentaire,3,,009FE3,FFFFFF,4232
4-0233,1,233,Bourgbarré (Centre de Loisirs) <> Orgères <> Saint-Erblon (Collège Saint-Paul),Complémentaire,3,,4465AD,FFFFFF,4233
4-0234,1,234,Saint-Grégoire (Jean-Paul II) <> Pacé (Pont Amelin),Complémentaire,3,,FECC00,1A171B,4234
4-0235,1,235,Pont-Péan (Mouton Blanc) <> Laillé <> Orgères (L'Hermitière Village),Complémentaire,3,,FECC00,1A171B,4235
4-0236,1,236,Pacé (Centre scolaire Pacé) <> Parthenay-de-Bretagne <> Clayes (Clayes Centre),Complémentaire,3,,F29FC5,1A171B,4236
4-0237,1,237,Le Rheu (Collège Brassens) <> Chavagne (Croix Blanche),Complémentaire,3,,E30613,FFFFFF,4237
4-0238,1,238,Le Rheu (Collège Brassens) <> L'Hermitage <> La Chapelle-Thouarault (Ville aux Archers),Complémentaire,3,,BA67A6,FFFFFF,4238
4-0239,1,239,Le Rheu (Lycée Monod) <> Mordelles (Mordelles Pâtis),Complémentaire,3,,F39200,FFFFFF,4239
4-0240,1,240,Saint-Gilles (Ile des Bois) <> L'Hermitage <> Le Rheu (Lycée Monod),Complémentaire,3,,005BAB,FFFFFF,4240
4-0241,1,241,Mordelles (Collège St-Yves) <> Chavagne (Croix Blanche),Complémentaire,3,,71BF44,1A171B,4241
4-0242,1,242,Miniac-sous-Bécherel (Miniac Eglise) <> Bécherel <> La Chapelle-Chaussée <> Romillé (Romillé Collège),Complémentaire,3,,F7941D,1A171B,4242
4-0243,1,243,Saint-Grégoire (Jean-Paul II) <> Montgermont <> Pacé (Pie Neuve),Complémentaire,3,,F7941D,1A171B,4243
4-0245,1,245,Rennes (Foyer Rennais) <> Bruz (Bruz Centre),Complémentaire,3,,005BAB,FFFFFF,4245
4-0320,1,20B,Cesson-Sévigné (Cesson - Viasilva) <> Cesson-Sévigné (Chalotais),Complémentaire,3,,FFCC00,1A171B,4320
4-0321,1,21B,Cesson-Sévigné (Cesson Collège) <> Chantepie (Chantepie Eglise),Complémentaire,3,,BA65A5,FFFFFF,4321
4-0322,1,22B,Rennes (Durafour Leclerc) <> Rennes (Villebois-Mareuil),Complémentaire,3,,61C3D9,1A171B,4322
4-0401,1,Ts1,Noyal-Châtillon-sur-Seiche (Launay Hyon) <> Bruz (Aire du 8 Mai),Transport scolaire,3,,702283,FFFFFF,4401
4-0403,1,Ts3,Saint-Erblon (Douazel) <> Noyal-Châtillon-sur-Seiche <> Bruz (Aire du 8 Mai),Transport scolaire,3,,5DC4E1,FFFFFF,4403
4-0404,1,Ts4,Bourgbarré (La Fretais) <> Orgères <> Bruz (Anita Conti),Transport scolaire,3,,76B729,FFFFFF,4404
